Image: frame_0.png, Detected Number: 00215
Image: frame_1.png, Detected Number: 00216
Image: frame_10.png, Detected Number: 00225
Image: frame_11.png, Detected Number: 00226
Image: frame_12.png, Detected Number: 00227
Image: frame_13.png, Detected Number: 00228
Image: frame_14.png, Detected Number: 00229
Image: frame_15.png, Detected Number: 00238
Image: frame_16.png, Detected Number: 00231
Image: frame_17.png, Detected Number: 00232
Image: frame_18.png, Detected Number: 00233
Image: frame_19.png, Detected Number: 00234
Image: frame_2.png, Detected Number: 00217
Image: frame_20.png, Detected Number: 00235
Image: frame_21.png, Detected Number: 00236
Image: frame_22.png, Detected Number: 00237
Image: frame_23.png, Detected Number: 00238
Image: frame_24.png, Detected Number: 00239
Image: frame_25.png, Detected Number: 00248
Image: frame_26.png, Detected Number: 00241
Image: frame_27.png, Detected Number: 00242
Image: frame_28.png, Detected Number: 00243
Image: frame_29.png, Detected Number: 00244
Image: frame_3.png, Detected Number: 00218
Image: frame_30.png, Detected Number: 00245
Image: frame_31.png, Detected Number: 00246
Image: frame_32.png, Detected Number: 00247
Image: frame_33.png, Detected Number: 00248
Image: frame_34.png, Detected Number: 00249
Image: frame_35.png, Detected Number: 00258
Image: frame_36.png, Detected Number: 00251
Image: frame_37.png, Detected Number: 00252
Image: frame_38.png, Detected Number: 00253
Image: frame_39.png, Detected Number: 00254
Image: frame_4.png, Detected Number: 00219
Image: frame_40.png, Detected Number: 00255
Image: frame_41.png, Detected Number: 00256
Image: frame_42.png, Detected Number: 00257
Image: frame_43.png, Detected Number: 00258
Image: frame_44.png, Detected Number: 00259
Image: frame_45.png, Detected Number: 00268
Image: frame_46.png, Detected Number: 00261
Image: frame_47.png, Detected Number: 00262
Image: frame_48.png, Detected Number: 00263
Image: frame_49.png, Detected Number: 00264
Image: frame_5.png, Detected Number: 00228
Image: frame_50.png, Detected Number: 00265
Image: frame_51.png, Detected Number: 00266
Image: frame_52.png, Detected Number: 00267
Image: frame_53.png, Detected Number: 00268
Image: frame_54.png, Detected Number: 00269
Image: frame_55.png, Detected Number: 00276
Image: frame_56.png, Detected Number: 00277
Image: frame_57.png, Detected Number: 00278
Image: frame_58.png, Detected Number: 00279
Image: frame_59.png, Detected Number: 00288
Image: frame_6.png, Detected Number: 00221
Image: frame_60.png, Detected Number: 00281
Image: frame_61.png, Detected Number: 00282
Image: frame_62.png, Detected Number: 00283
Image: frame_63.png, Detected Number: 00284
Image: frame_64.png, Detected Number: 00285
Image: frame_65.png, Detected Number: 00286
Image: frame_66.png, Detected Number: 00287
Image: frame_67.png, Detected Number: 00288
Image: frame_68.png, Detected Number: 00289
Image: frame_69.png, Detected Number: 00298
Image: frame_7.png, Detected Number: 00222
Image: frame_70.png, Detected Number: 00291
Image: frame_71.png, Detected Number: 00292
Image: frame_72.png, Detected Number: 00293
Image: frame_73.png, Detected Number: 00294
Image: frame_74.png, Detected Number: 00295
Image: frame_75.png, Detected Number: 00296
Image: frame_76.png, Detected Number: 00297
Image: frame_8.png, Detected Number: 00223
Image: frame_9.png, Detected Number: 00224
